StartDate,TimeSign,CurrencyCode,CurrencyCodeL,Units,Amount
02.01.2021,0000,964,XPD,1,66289.52
03.01.2021,0000,036,AUD,1,21.6852
03.01.2021,0000,944,AZN,1,16.6439
03.01.2021,0000,933,BYN,1,10.9477
03.01.2021,0000,975,BGN,1,17.7571
03.01.2021,0000,410,KRW,100,2.6015
03.01.2021,0000,344,HKD,1,3.6472
03.01.2021,0000,208,DKK,1,4.67
03.01.2021,0000,840,USD,1,28.2746
03.01.2021,0000,978,EUR,1,34.7396
03.01.2021,0000,818,EGP,1,1.7956
03.01.2021,0000,392,JPY,10,2.7444
03.01.2021,0000,985,PLN,1,7.6348
03.01.2021,0000,356,INR,10,3.857
03.01.2021,0000,124,CAD,1,22.1154
03.01.2021,0000,191,HRK,1,4.6037
03.01.2021,0000,484,MXN,1,1.4247
03.01.2021,0000,498,MDL,1,1.6413
03.01.2021,0000,376,ILS,1,8.8113
03.01.2021,0000,554,NZD,1,20.3506
03.01.2021,0000,578,NOK,1,3.2957
03.01.2021,0000,710,ZAR,1,1.9284
03.01.2021,0000,643,RUB,10,3.7823
03.01.2021,0000,946,RON,1,7.1366
03.01.2021,0000,360,IDR,1000,2.0119
03.01.2021,0000,682,SAR,1,7.5359
03.01.2021,0000,702,SGD,1,21.3651
03.01.2021,0000,960,XDR,1,40.8829
03.01.2021,0000,398,KZT,100,6.7124
03.01.2021,0000,949,TRY,1,3.8448
03.01.2021,0000,348,HUF,100,9.5181
03.01.2021,0000,826,GBP,1,38.4393
03.01.2021,0000,203,CZK,1,1.3238
03.01.2021,0000,752,SEK,1,3.453
03.01.2021,0000,756,CHF,1,32.0156
03.01.2021,0000,156,CNY,1,4.3333
03.01.2021,0000,012,DZD,10,2.1416
03.01.2021,0000,764,THB,10,9.445
03.01.2021,0000,986,BRL,1,5.4505
03.01.2021,0000,051,AMD,100,5.4105
03.01.2021,0000,936,GHS,1,4.8198
03.01.2021,0000,784,AED,1,7.698
03.01.2021,0000,704,VND,1000,1.2244
03.01.2021,0000,368,IQD,100,1.9366
03.01.2021,0000,364,IRR,10000,6.732
03.01.2021,0000,981,GEL,1,8.6366
03.01.2021,0000,422,LBP,100,1.8756
03.01.2021,0000,434,LYD,1,21.1383
03.01.2021,0000,458,MYR,1,7.0047
03.01.2021,0000,504,MAD,1,3.1763
03.01.2021,0000,901,TWD,10,10.06
03.01.2021,0000,941,RSD,10,2.9536
03.01.2021,0000,417,KGS,10,3.421
03.01.2021,0000,972,TJS,1,2.5022
03.01.2021,0000,050,BDT,10,3.3343
03.01.2021,0000,788,TND,1,10.5192
03.01.2021,0000,934,TMT,1,8.0785
03.01.2021,0000,860,UZS,1000,2.6988
03.01.2021,0000,959,XAU,1,53200.92
03.01.2021,0000,961,XAG,1,744.19
03.01.2021,0000,962,XPT,1,30203.49
03.01.2021,0000,964,XPD,1,66289.52
04.01.2021,0000,036,AUD,1,21.6852
04.01.2021,0000,944,AZN,1,16.6439
04.01.2021,0000,933,BYN,1,10.9477
04.01.2021,0000,975,BGN,1,17.7571
04.01.2021,0000,410,KRW,100,2.6015
04.01.2021,0000,344,HKD,1,3.6472
04.01.2021,0000,208,DKK,1,4.67
04.01.2021,0000,840,USD,1,28.2746
04.01.2021,0000,978,EUR,1,34.7396
04.01.2021,0000,818,EGP,1,1.7956
04.01.2021,0000,392,JPY,10,2.7444
04.01.2021,0000,985,PLN,1,7.6348
04.01.2021,0000,356,INR,10,3.857
04.01.2021,0000,124,CAD,1,22.1154
04.01.2021,0000,191,HRK,1,4.6037
04.01.2021,0000,484,MXN,1,1.4247
04.01.2021,0000,498,MDL,1,1.6413
04.01.2021,0000,376,ILS,1,8.8113
04.01.2021,0000,554,NZD,1,20.3506
04.01.2021,0000,578,NOK,1,3.2957
04.01.2021,0000,710,ZAR,1,1.9284
04.01.2021,0000,643,RUB,10,3.7823
04.01.2021,0000,946,RON,1,7.1366
04.01.2021,0000,360,IDR,1000,2.0119
04.01.2021,0000,682,SAR,1,7.5359
04.01.2021,0000,702,SGD,1,21.3651
04.01.2021,0000,960,XDR,1,40.8829
04.01.2021,0000,398,KZT,100,6.7124
04.01.2021,0000,949,TRY,1,3.8448
04.01.2021,0000,348,HUF,100,9.5181
04.01.2021,0000,826,GBP,1,38.4393
04.01.2021,0000,203,CZK,1,1.3238
04.01.2021,0000,752,SEK,1,3.453
04.01.2021,0000,756,CHF,1,32.0156
04.01.2021,0000,156,CNY,1,4.3333
04.01.2021,0000,012,DZD,10,2.1416
04.01.2021,0000,764,THB,10,9.445
04.01.2021,0000,986,BRL,1,5.4505
04.01.2021,0000,051,AMD,100,5.4105
04.01.2021,0000,936,GHS,1,4.8198
04.01.2021,0000,784,AED,1,7.698
04.01.2021,0000,704,VND,1000,1.2244
04.01.2021,0000,368,IQD,100,1.9366
04.01.2021,0000,364,IRR,10000,6.732
04.01.2021,0000,981,GEL,1,8.6366
04.01.2021,0000,422,LBP,100,1.8756
04.01.2021,0000,434,LYD,1,21.1383
04.01.2021,0000,458,MYR,1,7.0047
04.01.2021,0000,504,MAD,1,3.1763
04.01.2021,0000,901,TWD,10,10.06
04.01.2021,0000,941,RSD,10,2.9536
04.01.2021,0000,417,KGS,10,3.421
04.01.2021,0000,972,TJS,1,2.5022
04.01.2021,0000,050,BDT,10,3.3343
04.01.2021,0000,788,TND,1,10.5192
04.01.2021,0000,934,TMT,1,8.0785
04.01.2021,0000,860,UZS,1000,2.6988
04.01.2021,0000,959,XAU,1,53200.92
04.01.2021,0000,961,XAG,1,744.19
